node_name,op_type,device,time_us,time_ms
Kyp4hPgwbc,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,497.0,0.497
yRbwdFr1Bj,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,426.0,0.426
HFR2Nur3az,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,353.0,0.353
vd8psWgMtY,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,322.0,0.322
wDFKzdM8q5,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,229.0,0.229
KsmJHTor7e,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,227.0,0.227
LBsJ02A6lP,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,218.0,0.218
nsBjaJSWDv,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,217.0,0.217
NUQhYWEmOl,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,216.0,0.216
jUXlH4OoC7,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,208.0,0.208
mBN7R6fKGE,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,199.0,0.199
cSekZTL1Fx,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,193.0,0.193
zvnwsSYaFl,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,191.0,0.191
7B3JegOrZG,Slice,/job:localhost/replica:0/task:0/device:GPU:0,189.0,0.189
z4V6pEf9di,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,189.0,0.189
WBMXUDzkfa,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,187.0,0.187
4MI2W0yUx9,Slice,/job:localhost/replica:0/task:0/device:GPU:0,186.0,0.186
Ml3pVSQID6,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,186.0,0.186
f7Jt8T3uq1,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,163.0,0.163
B0cOxjvSTg,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,163.0,0.163
g29XNaUExM,Slice,/job:localhost/replica:0/task:0/device:GPU:0,162.0,0.162
hOFHulfJcd,Pack,/job:localhost/replica:0/task:0/device:GPU:0,159.0,0.159
hNfkc1i0tI,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,154.0,0.154
WhKUAiZrJg,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,154.0,0.154
ivb8Uz72j1,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,153.0,0.153
av6E5gXut1,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,151.0,0.151
WaEM8fRBNF,Slice,/job:localhost/replica:0/task:0/device:GPU:0,150.0,0.15
IG8Hbv0R4D,Slice,/job:localhost/replica:0/task:0/device:GPU:0,143.0,0.143
rQxaqlOCeZ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,141.0,0.141
MpKnkq6OcC,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,138.0,0.138
