node_name,op_type,device,time_us,time_ms
ipY2Fdvuq4,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,6024.0,6.024
Oyh1xKT6jJ,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,6019.0,6.019
tWyo3H047N,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,5964.0,5.964
xhBfPLO3F8,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,5668.0,5.668
6fWOgQD7Mi,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,5500.0,5.5
Mz3SEY4fcG,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,5058.0,5.058
hOFHulfJcd,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4970.0,4.97
9VCi4RmTId,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,2014.0,2.014
s20Ndt3b6E,Const,/job:localhost/replica:0/task:0/device:MUSA:0,1088.0,1.088
p1BefhjKEr,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1010.0,1.01
zh4aKlEAWM,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,952.0,0.952
XceakLSFVw,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,939.0,0.939
fuqEbTncjp,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,938.0,0.938
fKgoOMI1jL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,934.0,0.934
khlBSVqWYT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,933.0,0.933
Zpyd91om25,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,930.0,0.93
kKNQJryAZH,Sub,/job:localhost/replica:0/task:0/device:MUSA:0,926.0,0.926
4aUonPfu2D,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,923.0,0.923
eN5LPiH4ak,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,923.0,0.923
IG8Hbv0R4D,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,922.0,0.922
jnHT23hcM0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,920.0,0.92
zoOn1Xjm7D,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,919.0,0.919
3FwvhB2OST,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,919.0,0.919
BFxY84Aabg,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,918.0,0.918
9aM6tHkcpq,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,918.0,0.918
rs0gdMi8aN,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,918.0,0.918
EM1qhujmgy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,918.0,0.918
oK6AGB7W3O,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,918.0,0.918
Umdx1AC2Di,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,915.0,0.915
xzEcjMdiCO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,915.0,0.915
T2DpaWhz63,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,913.0,0.913
6dhgVs5poZ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,913.0,0.913
dpBRXDG7TF,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,913.0,0.913
4ONpQCZ6jy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,913.0,0.913
uhfHWXLP7S,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,911.0,0.911
JaVxOmIoen,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,911.0,0.911
oZSlYtLvCO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,911.0,0.911
cVn5uow8fJ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,910.0,0.91
6r3UhDtksv,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,910.0,0.91
06g2J4PYsu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,910.0,0.91
n0BkjHSCM6,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,909.0,0.909
ga9kIhiRzV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,908.0,0.908
g1RPdEXTlV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,907.0,0.907
BwkhdCAPz8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,906.0,0.906
FMxwcKmRG1,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,905.0,0.905
oM62N8IfpC,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,905.0,0.905
cpqSQ08YW6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,905.0,0.905
8ROXJiZmaq,RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,904.0,0.904
ZieJd7HOK4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,903.0,0.903
iFbrBjQzlM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,903.0,0.903
I2zgFsbGrQ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,902.0,0.902
v4aQuZfSXI,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,900.0,0.9
XIxNEi7aMY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,899.0,0.899
uxzCHtJ8MX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,899.0,0.899
pnmhEcDvX9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,898.0,0.898
MHyiq5rl83,Sub,/job:localhost/replica:0/task:0/device:MUSA:0,898.0,0.898
JQvyN0WlF5,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,897.0,0.897
DStTF1ZgcG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,896.0,0.896
rGKIifTEX6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,896.0,0.896
zWX8kdsBGu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,896.0,0.896
I7K6jxiMEs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,895.0,0.895
KOWp0aUTM2,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,895.0,0.895
Tc8BWFgnXo,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,894.0,0.894
HvIf51obVm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,893.0,0.893
xADOsQUpFu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,893.0,0.893
6f3d0tuRjW,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,892.0,0.892
4fEH3ZuLUw,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,892.0,0.892
wbqaofzvSM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,892.0,0.892
dONkVLQIj9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,892.0,0.892
JM7HkIXO89,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,891.0,0.891
IKm0uGcyvR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,891.0,0.891
qMQfPX3a0s,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,890.0,0.89
kYRwW9htzG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,890.0,0.89
Zp2zXIdPFh,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,887.0,0.887
nvmQy5rwV9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,886.0,0.886
es9qKO13PE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,886.0,0.886
enlazgmwMW,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,885.0,0.885
zs3fYPeZOd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,885.0,0.885
nYoxdP53i6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,882.0,0.882
u46QNYq7tX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,882.0,0.882
BQCuxJ1v2I,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,881.0,0.881
ebwoJ1MVGY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,880.0,0.88
OPsjktiMrp,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,880.0,0.88
DdVpIHwE1J,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,879.0,0.879
Kw04NfIp63,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,877.0,0.877
PGf8QnRiwT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,877.0,0.877
bxKpHMmLaw,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,877.0,0.877
s7XLVd8lkt,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,876.0,0.876
xdDEfoXImF,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,875.0,0.875
Riq1GtNFLV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,874.0,0.874
n0OwiyTsjr,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,872.0,0.872
N2K7rvqVYb,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,872.0,0.872
J4bVnixDjL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,870.0,0.87
RW5bYKFgfP,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,870.0,0.87
V24N1WqEbY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,868.0,0.868
R6N8shnJqo,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,868.0,0.868
LJPnrKgEBx,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,867.0,0.867
Pjez7iInYT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,867.0,0.867
FYGIDCB1ce,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,862.0,0.862
eqVLEhblIz,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,855.0,0.855
JInWeB4MhU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,854.0,0.854
yFYANI9GqE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,853.0,0.853
kN1UmwyxYs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,852.0,0.852
ts7Q9m30lX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,850.0,0.85
HSZCpk6hu8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,850.0,0.85
WGtiIA2l7y,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,849.0,0.849
QoE4YevJdg,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,848.0,0.848
TLbPfzRwGV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,846.0,0.846
yN3anUzifY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,842.0,0.842
S8N1Ocejuy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,842.0,0.842
eHE2876jRv,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,842.0,0.842
wXGo3lq2bI,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,838.0,0.838
yUrOhm1beE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,837.0,0.837
PTr15bOjhI,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,835.0,0.835
BnzpaTFJUY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,834.0,0.834
ufqcLEITwi,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,830.0,0.83
gHjsf4rhqK,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,829.0,0.829
SYfcemWD4h,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,828.0,0.828
76M5cDuFQR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,827.0,0.827
0bBmeu5SEx,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,825.0,0.825
ziT7ZvegFC,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,825.0,0.825
kQbOjZMrf3,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,824.0,0.824
Nn9JiceUgR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,821.0,0.821
1nXtFoyNmK,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,821.0,0.821
69FfxgTUSI,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,820.0,0.82
NgQjvGlX32,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,820.0,0.82
gKPAyo0hCM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,817.0,0.817
4KpqvbLNDY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,816.0,0.816
FxGpb4Bzak,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,816.0,0.816
h9yuL3zNod,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,814.0,0.814
Is8zuV26R0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,804.0,0.804
b158SptOnE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,802.0,0.802
QLEID5dUM8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,801.0,0.801
0Nh5KL26kD,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,801.0,0.801
zO0i1DxmQe,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,801.0,0.801
xPnwYJiABU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,800.0,0.8
5EnZN8gc1f,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,800.0,0.8
KD2wmTMjF5,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,800.0,0.8
YQAGD27hLR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,800.0,0.8
EzpOU2bK6s,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,796.0,0.796
ZLn0HFBcM6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,795.0,0.795
6a1Oh20EKo,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,794.0,0.794
wQPETg2Xst,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,793.0,0.793
MP7A1OIpzn,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,790.0,0.79
wPLrl7Q0Kz,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,790.0,0.79
5hMuvnAp0J,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,790.0,0.79
z3fBavMWm8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,789.0,0.789
L96KJD2lEG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,789.0,0.789
bwQvoZGyg0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,784.0,0.784
hifTQrHteq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,783.0,0.783
e0HyTk2dpK,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,782.0,0.782
cNY5ZtpqI1,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,777.0,0.777
i2Toq09j6d,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,773.0,0.773
o14xf8HeN2,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,771.0,0.771
W70oQgTPni,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,771.0,0.771
t6RCbSqmag,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,771.0,0.771
uGItsdLDh7,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,766.0,0.766
hjiFrt3wAy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,766.0,0.766
nhW6QLcf8v,AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,766.0,0.766
Ampz1uslNd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,762.0,0.762
mPCX5fuT7W,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,757.0,0.757
KmoZXYxgAl,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,749.0,0.749
uWrXYDNP9S,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,748.0,0.748
S7R4QHh5ef,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,747.0,0.747
XeZvI8ro93,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,744.0,0.744
oxFjD1pCJd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,741.0,0.741
XLCl3IV9ce,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,734.0,0.734
tQWIDnJHRT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,729.0,0.729
NiwfqMAlFu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,729.0,0.729
CV3NPv2aqT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,724.0,0.724
8NVaWiP9mq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,719.0,0.719
fluJOSY0Kd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,708.0,0.708
m8i0enptuk,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,707.0,0.707
1vGWc6NeiY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,707.0,0.707
1KF2xMRJ4p,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,706.0,0.706
X4RyD9Ygwj,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,703.0,0.703
a4uJqeySIs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,701.0,0.701
eCWbBZ21zT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,697.0,0.697
eQjltoah2m,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,693.0,0.693
5wpBlLftc3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,692.0,0.692
60IclD5ryq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,691.0,0.691
TWPXEzNoLx,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,691.0,0.691
bvIzyU5jZP,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,687.0,0.687
TmwXZucRGq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,685.0,0.685
reS5NOIWqV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,683.0,0.683
s9hQaD017k,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,683.0,0.683
Yx8TLa4DQC,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,683.0,0.683
CipvLejUJE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,682.0,0.682
pCrDGqX1JT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,679.0,0.679
wGs2bomS4u,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,679.0,0.679
rm28azoUxE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,674.0,0.674
QRUYNav0gG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,669.0,0.669
o9M8PuleWq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,664.0,0.664
9uyw4d5GSg,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,660.0,0.66
LS7cJaXE4P,MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,656.0,0.656
E5vSZ7lB3T,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,653.0,0.653
Wt6bYExKm4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,648.0,0.648
C3a5qwrz10,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,647.0,0.647
klcH6Rzpi3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,643.0,0.643
XvE0yFITm4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,640.0,0.64
gJlMhFivWo,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,639.0,0.639
N6mnL1bB4k,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,638.0,0.638
SEfliR86od,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,635.0,0.635
sKS14D2dm3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,633.0,0.633
GUSpdCtfu0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,631.0,0.631
wxEWa7Puc0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,628.0,0.628
FKvoWiI2Cc,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,626.0,0.626
P8E0qBWOXy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,619.0,0.619
2XYeTwtRjN,Add,/job:localhost/replica:0/task:0/device:MUSA:0,606.0,0.606
u89OAan1qG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,597.0,0.597
3N5QzK9EOT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,596.0,0.596
TSpvgQWfM4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,595.0,0.595
swPYceboCj,RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,594.0,0.594
wyFC2aJkhb,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,594.0,0.594
pEIOPZw06y,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,591.0,0.591
6o3RJilb9w,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,591.0,0.591
MX8bdksRnF,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,590.0,0.59
nf6qtAkXgY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,588.0,0.588
VgdD3fnGX4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,587.0,0.587
NmzWoC5ixP,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,585.0,0.585
gBj6IvzOuV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,584.0,0.584
Gso64fAWDr,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,584.0,0.584
VIbOq1r4LT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,581.0,0.581
nAfKuD6tJX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,577.0,0.577
PxUykg1VXT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,575.0,0.575
xJFcQHeGMD,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,574.0,0.574
qXmaDSGheT,Pow,/job:localhost/replica:0/task:0/device:MUSA:0,573.0,0.573
HFR2Nur3az,MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,569.0,0.569
XuLpCZm682,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,569.0,0.569
7IZBb2irpX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,566.0,0.566
yR7Gb3OF6N,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,566.0,0.566
wi6Dy24ZHO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,558.0,0.558
cqnSihlCpj,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,554.0,0.554
V4XSojwCab,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,536.0,0.536
0wp5R1iafc,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,534.0,0.534
fhoiky0DTY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,532.0,0.532
vIOp4aYFln,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,504.0,0.504
giyv6sRbT8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,499.0,0.499
PJUqCa6TNf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,468.0,0.468
nehmIHt0CL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,461.0,0.461
vVKPjTMtws,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,461.0,0.461
g9djTKlSmX,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,461.0,0.461
5ona3N79Oc,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,456.0,0.456
Q6gbqi2DOt,Sub,/job:localhost/replica:0/task:0/device:MUSA:0,455.0,0.455
VxjH3h29mL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,435.0,0.435
LNSVsmI1y6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,427.0,0.427
OrJ5VwEij8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,413.0,0.413
BdHYyjXS1m,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,410.0,0.41
6n8I2MdEGr,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,405.0,0.405
I0MWysXZlk,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,404.0,0.404
TGBWgfehqa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,403.0,0.403
aJtw9Weybs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,403.0,0.403
B82qnsCFOL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,400.0,0.4
Ut4RyZJ2wz,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,400.0,0.4
tRGdp8FqcK,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,399.0,0.399
po65eUPZrY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,394.0,0.394
d6e3pugvV9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,389.0,0.389
Unc5wYu6MW,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,388.0,0.388
F24m7N9pyj,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,386.0,0.386
DLuQWIexRj,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,386.0,0.386
GKP2aUDypR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,382.0,0.382
IixP2GYFZ5,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,382.0,0.382
HxziUdMcm7,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,381.0,0.381
F8Y7oDx59P,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,381.0,0.381
igSPDas5xB,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,376.0,0.376
2aOV8KjNuT,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,374.0,0.374
5WpEjn2vos,RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,372.0,0.372
TqBWh41p8g,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,367.0,0.367
gFkyBLHs41,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,366.0,0.366
seIuDx0gpE,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,365.0,0.365
rSOLED84PX,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,361.0,0.361
NuvJ2918xo,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,357.0,0.357
EICo92GzON,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,356.0,0.356
8R4lJsqUIY,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,353.0,0.353
j7gU26tZOf,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,350.0,0.35
2uKSp1Q9AC,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,348.0,0.348
CGafmXPZDE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,347.0,0.347
gPlTo6Zp50,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,336.0,0.336
pNuqx4TcIm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,333.0,0.333
7gkcnsu5wS,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,330.0,0.33
e1KJIXEvdO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,324.0,0.324
ZUeSOuT94g,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,316.0,0.316
XIGAMRsb9K,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,315.0,0.315
ASxaLchtHm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,307.0,0.307
