op_type,device,count,time_us,time_ms,avg_us_per_call
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,299,7007.0,7.007,23.434782608695652
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,164,5328.0,5.328,32.48780487804878
SplitV,/job:localhost/replica:0/task:0/device:GPU:0,3,4062.0,4.062,1354.0
Where,/job:localhost/replica:0/task:0/device:GPU:0,16,3619.0,3.619,226.1875
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,167,1782.0,1.782,10.67065868263473
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,1782,1603.0,1.603,0.8995510662177328
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,204,1530.0,1.53,7.5
Prod,/job:localhost/replica:0/task:0/device:GPU:0,138,1473.0,1.473,10.673913043478262
Pow,/job:localhost/replica:0/task:0/device:GPU:0,195,1282.0,1.282,6.574358974358974
Mul,/job:localhost/replica:0/task:0/device:GPU:0,145,1188.0,1.188,8.193103448275862
Mean,/job:localhost/replica:0/task:0/device:GPU:0,75,1136.0,1.136,15.146666666666667
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,131,1030.0,1.03,7.862595419847328
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,482,1001.0,1.001,2.0767634854771786
Add,/job:localhost/replica:0/task:0/device:GPU:0,118,909.0,0.909,7.703389830508475
Fill,/job:localhost/replica:0/task:0/device:GPU:0,57,895.0,0.895,15.701754385964913
Sub,/job:localhost/replica:0/task:0/device:GPU:0,132,879.0,0.879,6.659090909090909
Select,/job:localhost/replica:0/task:0/device:GPU:0,85,871.0,0.871,10.24705882352941
Relu,/job:localhost/replica:0/task:0/device:GPU:0,123,775.0,0.775,6.300813008130081
Equal,/job:localhost/replica:0/task:0/device:GPU:0,29,619.0,0.619,21.344827586206897
Sum,/job:localhost/replica:0/task:0/device:GPU:0,38,609.0,0.609,16.026315789473685
NotEqual,/job:localhost/replica:0/task:0/device:GPU:0,32,577.0,0.577,18.03125
BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,32,566.0,0.566,17.6875
Cast,/job:localhost/replica:0/task:0/device:GPU:0,47,555.0,0.555,11.808510638297872
GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,21,554.0,0.554,26.38095238095238
AddN,/job:localhost/replica:0/task:0/device:GPU:0,54,513.0,0.513,9.5
Shape,/job:localhost/replica:0/task:0/device:GPU:0,134,471.0,0.471,3.514925373134328
Maximum,/job:localhost/replica:0/task:0/device:GPU:0,38,470.0,0.47,12.368421052631579
Pack,/job:localhost/replica:0/task:0/device:GPU:0,117,448.0,0.448,3.8290598290598292
Slice,/job:localhost/replica:0/task:0/device:GPU:0,16,429.0,0.429,26.8125
Minimum,/job:localhost/replica:0/task:0/device:GPU:0,37,375.0,0.375,10.135135135135135
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,33,330.0,0.33,10.0
LogicalOr,/job:localhost/replica:0/task:0/device:GPU:0,14,298.0,0.298,21.285714285714285
Const,/job:localhost/replica:0/task:0/device:GPU:0,189,290.0,0.29,1.5343915343915344
Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,37,233.0,0.233,6.297297297297297
Log,/job:localhost/replica:0/task:0/device:GPU:0,28,225.0,0.225,8.035714285714286
