op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
Slice,334641.0,19960.0,314681.0,1544,1544,0
AddN,95331.0,168.0,95163.0,7,7,0
BitwiseAnd,27326.0,46.0,27280.0,3,3,0
Pack,10815.0,546.0,10269.0,156,156,0
Fill,7706.0,796.0,6910.0,35,35,0
Select,5906.0,562.0,5344.0,35,35,0
Less,5315.0,501.0,4814.0,20,20,0
Prod,5198.0,727.0,4471.0,62,62,0
RealDiv,5039.0,1025.0,4014.0,139,139,0
RandomUniform,4134.0,522.0,3612.0,18,18,0
Unpack,3626.0,380.0,3246.0,102,102,0
Sum,3401.0,174.0,3227.0,15,15,0
SquaredDifference,3295.0,231.0,3064.0,17,17,0
Reshape,3973.0,942.0,3031.0,405,405,0
Pow,3767.0,843.0,2924.0,113,113,0
Sub,3477.0,729.0,2748.0,106,106,0
Mean,2276.0,260.0,2016.0,17,17,0
StridedSlice,2110.0,212.0,1898.0,21,21,0
ConcatV2,4146.0,2491.0,1655.0,59,59,0
Add,1697.0,353.0,1344.0,52,52,0
Const,1665.0,364.0,1301.0,158,158,0
ZerosLike,1357.0,293.0,1064.0,18,18,0
MatMul,6576.0,5840.0,736.0,164,164,0
Minimum,612.0,70.0,542.0,9,9,0
AddV2,933.0,508.0,425.0,58,58,0
Equal,477.0,87.0,390.0,12,13,-1
Mul,759.0,433.0,326.0,52,52,0
Split,557.0,282.0,275.0,12,12,0
Maximum,176.0,31.0,145.0,9,9,0
SplitV,290.0,170.0,120.0,14,14,0
Sigmoid,272.0,168.0,104.0,21,21,0
Cast,348.0,249.0,99.0,11,13,-2
ExpandDims,106.0,13.0,93.0,2,2,0
Log,203.0,123.0,80.0,19,19,0
Rsqrt,207.0,142.0,65.0,18,18,0
Tile,164.0,104.0,60.0,12,12,0
Greater,135.0,79.0,56.0,5,5,0
Sqrt,75.0,31.0,44.0,5,5,0
Round,35.0,14.0,21.0,1,1,0
Max,55.0,36.0,19.0,2,2,0
Exp,50.0,34.0,16.0,5,5,0
Neg,60.0,53.0,7.0,8,8,0
Transpose,89.0,87.0,2.0,8,8,0
Abs,10.0,10.0,0.0,1,1,0
Log1p,25.0,27.0,-2.0,4,4,0
Softplus,7.0,11.0,-4.0,1,1,0
Relu,329.0,333.0,-4.0,33,33,0
Pad,17.0,22.0,-5.0,1,1,0
BatchMatMulV2,147.0,152.0,-5.0,6,6,0
GreaterEqual,18.0,23.0,-5.0,2,2,0
Tanh,105.0,112.0,-7.0,9,9,0
Softmax,40.0,51.0,-11.0,2,2,0
Squeeze,4.0,22.0,-18.0,4,4,0
Einsum,72.0,113.0,-41.0,2,2,0
Switch,20.0,70.0,-50.0,27,27,0
Shape,393.0,475.0,-82.0,137,137,0
Conv2D,65.0,637.0,-572.0,4,4,0
__TOTAL__,549632.0,42737.0,506895.0,3782,3785,-3
