pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,ToHpWYBa3i,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_1_frozen.pb,6BNlVEgDST,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_1_frozen.pb,4QzigTG0hj,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_1_frozen.pb,zx3Dra0phH,Range,,,,3,ToHpWYBa3i|6BNlVEgDST|4QzigTG0hj,Tidx
meta_graph_1_frozen.pb,EYu3W761zA,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_1_frozen.pb,RPGvVrZMak,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,8fIqEUwCaK,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,gu6AhzIHk1,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,S7R4QHh5ef,Slice,DT_FLOAT,,,3,RPGvVrZMak|8fIqEUwCaK|gu6AhzIHk1,Index|T
meta_graph_1_frozen.pb,URVDgNGoIx,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,fZXDGgIqRv,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,4HoCcgWMuk,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,N9H7CFojky,Slice,DT_FLOAT,,,3,URVDgNGoIx|fZXDGgIqRv|4HoCcgWMuk,Index|T
meta_graph_1_frozen.pb,vF46yONhri,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,hJEctf5im6,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,reRcjvFVbo,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,KD1CTpfWNV,Slice,DT_FLOAT,,,3,vF46yONhri|hJEctf5im6|reRcjvFVbo,Index|T
meta_graph_1_frozen.pb,TSqGwrHeo4,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,fk1sFILuPS,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,7JZc9FaHyY,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,pJYzW5NlPi,Slice,DT_FLOAT,,,3,TSqGwrHeo4|fk1sFILuPS|7JZc9FaHyY,Index|T
meta_graph_1_frozen.pb,mxUaAp0CV8,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,81mDClJGoh,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,S2RYj4wyzH,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,5EnZN8gc1f,Slice,DT_FLOAT,,,3,mxUaAp0CV8|81mDClJGoh|S2RYj4wyzH,Index|T
meta_graph_1_frozen.pb,ZyQ5FrpI6t,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,sMD6tq1Rfn,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,fVvAh9sSMa,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,nvmQy5rwV9,Slice,DT_FLOAT,,,3,ZyQ5FrpI6t|sMD6tq1Rfn|fVvAh9sSMa,Index|T
meta_graph_1_frozen.pb,fMiQsYNnet,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,0GzdyqEmcM,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,4Q1pJGAMjT,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,rDida4K7lg,Slice,DT_FLOAT,,,3,fMiQsYNnet|0GzdyqEmcM|4Q1pJGAMjT,Index|T
meta_graph_1_frozen.pb,d8RoEzG52p,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,ZI2EHLnu3l,Const,DT_INT32,,,0,,dtype|value
