Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.2,865322386,1950,443755.1,7558.0,2664,44340155,3837768.9,cudaLaunchKernel
20.5,353412955,668,529061.3,23854.0,2684,18143050,2381931.1,cuMemcpyHtoDAsync_v2
12.6,217301443,1446,150277.6,804.0,294,38594576,1745203.4,cuEventRecord
8.7,149647268,4,37411817.0,13249820.0,6660,123140968,58152085.4,cudaFree
3.8,65738609,4,16434652.3,2617053.0,1317008,59187495,28513980.4,cuMemHostAlloc
2.0,34305808,7,4900829.7,1995.0,186,34292486,12960502.4,cuEventCreate
0.9,16081856,29,554546.8,153269.0,31965,6538881,1253885.8,cuModuleLoadData
0.3,5867166,65,90264.1,6959.0,2520,5105412,631914.5,cuMemcpyDtoHAsync_v2
0.2,3633614,7,519087.7,399249.0,23359,1644521,518751.5,cuModuleUnload
0.2,2630171,355,7408.9,5706.0,2714,102843,8060.4,cuLaunchKernel
0.1,2395685,18,133093.6,666.5,412,2219789,521961.1,cudaEventCreateWithFlags
0.1,2243255,1914,1172.0,813.0,302,20255,1227.2,cuEventQuery
0.1,1723118,1,1723118.0,1723118.0,1723118,1723118,0.0,cuMemAlloc_v2
0.1,1467017,713,2057.5,804.0,375,125400,7113.0,cuStreamWaitEvent
0.1,1191880,5617,212.2,152.0,73,8793,323.2,cuCtxSetCurrent
0.0,656207,3,218735.7,224554.0,6634,425019,209253.2,cudaMalloc
0.0,623641,2,311820.5,311820.5,309254,314387,3629.6,cudaGetDeviceProperties
0.0,407054,44,9251.2,5581.5,3696,39106,8203.5,cudaMemcpyAsync
0.0,239793,1152,208.2,150.0,81,9307,302.8,cuGetProcAddress
0.0,83919,26,3227.7,1989.5,1649,10877,2547.5,cudaMemsetAsync
0.0,64009,45,1422.4,1003.0,444,7166,1327.8,cudaEventQuery
0.0,61807,142,435.3,213.5,164,4012,646.9,cudaStreamGetCaptureInfo
0.0,50723,2,25361.5,25361.5,19205,31518,8706.6,cuMemGetInfo_v2
0.0,48088,45,1068.6,657.0,381,4796,994.9,cudaEventRecord
0.0,34493,4,8623.3,2006.0,1867,28614,13327.7,cuStreamCreate
0.0,22856,1,22856.0,22856.0,22856,22856,0.0,cuMemsetD32_v2
0.0,6389,3,2129.7,2087.0,1800,2502,352.9,cuInit
0.0,2169,1,2169.0,2169.0,2169,2169,0.0,cuStreamSynchronize
0.0,630,3,210.0,179.0,141,310,88.7,cuModuleGetLoadingMode
