Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.8,5718797,7,816971.0,817505.0,814466,818626,1559.5,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x128_16x3_nn_align4>(T1::Params)
8.7,1428386,133,10739.7,10208.0,4384,34912,4656.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4>(T1::Params)
7.3,1200322,483,2485.1,1408.0,1120,22336,2768.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorSlicingOp<const Eigen::array<int, (unsigned long)2>, const Eigen::array<int, (unsigned long)2>, Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>, Eigen::GpuDevice>, int>(T1, T2)"
7.1,1166691,10,116669.1,126064.5,25440,132705,32535.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align1>(T1::Params)
6.6,1079202,812,1329.1,1280.0,1216,1792,109.5,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSlicingOp<const Eigen::DSizes<int, (int)2>, const Eigen::DSizes<int, (int)2>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
3.4,562657,59,9536.6,2432.0,1280,48800,15584.3,Pow_GPU_DT_FLOAT_DT_FLOAT_kernel
2.8,457504,14,32678.9,34160.0,5472,50528,13152.1,"void tensorflow::<unnamed>::SplitOpKernel<float>(const T1 *, int, int, int, tensorflow::GpuDeviceArrayStruct<T1 *, (int)8>)"
2.3,385344,56,6881.1,4032.0,3072,24672,4941.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)
2.3,378593,7,54084.7,46624.0,45536,64992,9901.2,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x256_16x3_nn_align4>(T1::Params)
2.0,336098,92,3653.2,2368.5,1920,24608,3113.8,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorSlicingOp<const Eigen::DSizes<int, (int)3>, const Eigen::DSizes<int, (int)3>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)3, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)"
1.9,312001,2,156000.5,156000.5,155648,156353,498.5,ampere_sgemm_128x128_nn
1.7,280288,73,3839.6,1600.0,1088,31520,6431.5,AddV2_GPU_DT_FLOAT_DT_FLOAT_kernel
1.7,277826,45,6173.9,2400.0,2336,34496,8771.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_max_op<const float, const float, (int)1>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>>, Eigen::GpuDevice>, long>(T1, T2)"
1.2,194625,2,97312.5,97312.5,97248,97377,91.2,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)
1.2,189345,4,47336.3,47376.5,47040,47552,244.5,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_32x3_nn_align1>(T1::Params)
1.1,176032,32,5501.0,2064.0,1248,40288,9638.9,Div_GPU_DT_FLOAT_DT_FLOAT_kernel
1.0,162465,5,32493.0,32640.0,29792,34625,2065.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_16x6_nn_align4>(T1::Params)
0.9,152960,13,11766.2,8416.0,7456,20160,5516.2,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align1>(T1::Params)
0.9,148928,42,3545.9,1584.0,1088,31520,6684.7,Sub_GPU_DT_FLOAT_DT_FLOAT_kernel
0.9,145120,31,4681.3,1536.0,1056,31392,8204.3,Mul_GPU_DT_FLOAT_DT_FLOAT_kernel
0.8,138592,8,17324.0,11824.0,8992,47456,13244.7,"void tensorflow::concat_variable_kernel<float, int, (bool)1>(tensorflow::GpuDeviceArrayStruct<const T1 *, (int)8>, tensorflow::GpuDeviceArrayStruct<T2, (int)8>, T2, T2, T1 *)"
0.8,128416,4,32104.0,32096.0,31840,32384,222.3,SquaredDifference_GPU_DT_FLOAT_DT_FLOAT_kernel
0.7,110496,3,36832.0,36352.0,35456,38688,1668.6,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align1>(T1::Params)
0.6,103264,14,7376.0,4864.0,3520,12608,3645.9,ampere_sgemm_32x32_sliced1x4_nn
0.6,99009,7,14144.1,10624.0,3136,34305,12245.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)5, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
